timestamp,request_type,duration,d2d,tq,to,oq,tick_ts,order_ts,deque_ts,clOrdId
2025-10-02 06:41:59.803363,NEW,67.7,15.448,6.78,11.45,3.99,14168092098476311,14168092109930416,14168092113923897,CBROBTCxstrata1x1
2025-10-02 06:41:59.803379,NEW,67.7,15.45,6.78,12.95,2.5,14168092098476311,14168092111424602,14168092113926612,CBROBTCxstrata1x2
2025-10-02 06:42:00.260471,NEW,6.0,0.527,0.04,0.51,0.02,14168092632293995,14168092632800827,14168092632821176,CBROBTCxstrata1x3
2025-10-02 06:42:00.260722,NEW,6.3,0.554,0.04,0.53,0.03,14168092632293995,14168092632820545,14168092632848007,CBROBTCxstrata1x4
2025-10-02 06:42:00.304922,CANCEL,50.5,0.478,0.04,0.44,0.04,14168092632293995,14168092632733089,14168092632772143,CBROBTCxstrata1x2
2025-10-02 06:42:00.304928,CANCEL,50.5,0.478,0.04,0.4,0.08,14168092632293995,14168092632693895,14168092632772353,CBROBTCxstrata1x1
2025-10-02 06:42:06.191720,CANCEL,1.7,0.142,0.06,0.12,0.02,14168098568292003,14168098568414406,14168098568433512,CBROBTCxstrata1x4
2025-10-02 06:42:06.192909,CANCEL,2.9,0.124,0.06,0.1,0.02,14168098568292003,14168098568396913,14168098568415608,CBROBTCxstrata1x3
2025-10-02 06:42:06.196148,NEW,6.1,0.179,0.06,0.15,0.03,14168098568292003,14168098568442639,14168098568471464,CBROBTCxstrata1x5
2025-10-02 06:42:06.198582,NEW,8.5,0.199,0.06,0.17,0.03,14168098568292003,14168098568460954,14168098568490921,CBROBTCxstrata1x6
2025-10-02 06:42:11.413103,NEW,5.3,0.098,0.03,0.08,0.02,14168103786119188,14168103786197106,14168103786216984,CBROBTCxstrata1x7
2025-10-02 06:42:11.414879,NEW,7.0,0.104,0.03,0.09,0.01,14168103786119188,14168103786213297,14168103786222835,CBROBTCxstrata1x8
2025-10-02 06:42:11.453574,CANCEL,45.8,0.063,0.03,0.05,0.01,14168103786119188,14168103786171437,14168103786182618,CBROBTCxstrata1x5
2025-10-02 06:42:11.453590,CANCEL,45.8,0.075,0.03,0.06,0.02,14168103786119188,14168103786177679,14168103786193890,CBROBTCxstrata1x6
2025-10-02 06:42:43.898087,CANCEL,1.6,0.087,0.05,0.07,0.02,14168136274796045,14168136274865306,14168136274882809,CBROBTCxstrata1x7
2025-10-02 06:42:43.899366,CANCEL,2.8,0.109,0.05,0.08,0.03,14168136274796045,14168136274873291,14168136274904691,CBROBTCxstrata1x8
2025-10-02 06:42:43.901341,NEW,4.7,0.285,0.05,0.1,0.18,14168136274796045,14168136274900262,14168136275080605,CBROBTCxstrata1x9
2025-10-02 06:42:43.902415,NEW,5.9,0.134,0.05,0.12,0.01,14168136274796045,14168136274918216,14168136274930089,CBROBTCxstrata1x10
